,finn_code,model_year,manufacturer,model,km,power,gear,trans,cylinder,fuel_type,model_age
387,138218991,2017,17,327,0.0,116.0,1,1,1.2,0,2
388,138218932,2012,29,405,10.0,140.0,1,0,2.0,1,7
389,138218920,2013,6,176,12.0,95.0,1,1,1.6,1,6
390,138218905,2012,6,248,12.0,140.0,1,0,2.0,1,7
391,138218902,2013,16,300,6.0,200.0,0,0,3.2,1,6
392,138214693,2008,19,21,8.0,109.0,1,1,1.6,1,11
393,138218790,2012,29,67,9.0,163.0,1,0,2.0,1,7
394,138217417,1998,28,156,11.0,79.0,1,2,2.4,1,21
395,138218808,2013,29,114,9.0,179.0,0,0,2.0,1,6
396,138218826,2013,29,364,9.0,140.0,1,0,2.0,1,6
397,138218762,2012,6,182,12.0,116.0,1,1,2.0,1,7
398,138214020,2009,4,230,14.0,140.0,0,1,2.0,1,10
400,138211710,2005,6,176,12.0,109.0,1,1,1.6,1,14
401,138218726,2011,17,289,10.0,86.0,1,1,1.5,1,8
402,90354678,2013,30,418,3.0,215.0,0,0,2.4,3,6
403,138218716,2011,16,299,14.0,156.0,0,0,2.2,1,8
404,138218730,2011,23,293,13.0,122.0,0,1,1.4,0,8
405,138218745,2011,29,308,10.0,140.0,1,1,2.0,1,8
406,138179142,2008,30,417,13.0,109.0,1,1,1.6,1,11
407,138218608,2011,29,405,11.0,140.0,1,0,2.0,1,8
408,138218601,2010,1,31,12.0,245.0,0,0,3.0,1,9
409,138218624,2011,1,31,13.0,184.0,0,2,2.0,1,8
411,138218620,2011,0,58,11.0,204.0,0,0,3.0,1,8
413,138218635,2011,18,69,6.0,163.0,1,0,2.2,1,8
414,138218641,2019,8,246,0.0,204.0,0,1,0.0,2,0
415,138218569,2018,16,299,0.0,135.0,0,0,2.4,3,1
416,138218564,2013,29,194,8.0,122.0,0,1,1.4,0,6
417,138218583,2010,28,73,6.0,99.0,1,1,1.3,0,9
418,138218095,2018,26,383,0.0,90.0,1,0,1.2,0,1
419,138218482,2013,0,324,7.0,140.0,0,0,2.0,1,6
420,137430504,2012,1,0,8.0,116.0,1,2,2.0,1,7
421,138218411,2015,0,54,4.0,125.0,0,1,1.4,0,4
422,138218409,2017,30,421,4.0,190.0,0,0,2.0,1,2
423,138218389,2015,28,73,5.0,99.0,0,1,1.8,3,4
424,138218432,2007,6,348,10.0,125.0,1,1,1.8,1,12
425,138218418,2013,28,318,9.0,99.0,0,1,1.8,3,6
426,138218296,2016,1,40,6.0,450.0,0,0,4.4,0,3
427,138218273,2018,6,402,0.0,75.0,1,1,1.5,1,1
430,138218117,2003,30,356,13.0,209.0,0,0,2.5,0,16
432,138217996,2005,1,436,11.0,150.0,1,0,2.0,1,14
433,138217897,2014,29,392,7.0,140.0,0,0,2.0,1,5
434,138217885,2011,23,295,11.0,140.0,0,0,2.0,1,8
435,138217890,2015,6,175,5.0,101.0,1,1,1.0,0,4
436,138217850,2017,28,453,5.0,100.0,0,1,1.5,3,2
438,138217737,2014,29,107,8.0,102.0,1,1,1.6,1,5
439,138217738,2013,28,254,9.0,190.0,0,0,3.0,1,6
440,138213739,1998,28,377,7.0,75.0,1,1,1.0,0,21
441,138217696,2016,29,392,4.0,150.0,0,0,2.0,1,3
442,138217708,2016,17,256,2.0,109.0,0,1,0.0,2,3
443,138217724,2018,30,444,2.0,407.0,0,0,2.0,3,1
444,138215309,2013,18,135,7.0,90.0,1,1,1.2,1,6
445,138217675,2012,13,149,10.0,150.0,1,0,2.2,1,7
446,138217682,2017,30,444,3.0,235.0,0,0,2.0,1,2
447,138217584,2018,28,73,0.0,136.0,0,1,1.8,3,1
448,138217583,2018,6,404,1.0,130.0,1,1,2.0,1,1
449,138217562,2017,29,397,3.0,116.0,0,1,1.6,1,2
451,127261078,2007,1,18,9.0,170.0,0,2,2.0,0,12
453,138217372,2010,25,257,13.0,150.0,1,0,2.0,1,9
454,138217409,2017,16,299,2.0,121.0,0,0,2.0,0,2
456,138217169,2016,30,442,4.0,163.0,0,0,2.4,1,3
457,138213494,2008,30,444,14.0,185.0,0,0,2.4,1,11
458,138217378,2013,16,299,8.0,150.0,0,0,2.3,1,6
459,138213074,2003,2,74,14.0,275.0,0,0,5.0,0,16
460,138195164,2019,29,191,0.0,136.0,0,1,0.0,2,0
461,138217179,2013,28,75,9.0,147.0,0,1,1.8,0,6
462,138202615,2013,27,274,14.0,362.0,0,2,0.0,2,6
463,138211041,2011,6,176,8.0,95.0,1,1,1.6,1,8
464,138217139,2018,0,59,1.0,190.0,0,0,3.0,1,1
465,138217149,2016,21,238,3.0,90.0,1,1,1.5,1,3
466,138215381,2002,30,420,12.0,180.0,0,1,2.0,0,17
467,138217119,2016,26,428,4.0,120.0,0,0,1.6,0,3
468,138214797,2011,28,453,2.0,99.0,1,1,1.3,0,8
469,138147087,2010,29,107,13.0,105.0,1,1,1.9,1,9
470,138216976,2019,1,434,0.0,190.0,0,0,2.0,1,0
471,138217075,2014,0,52,2.0,122.0,0,1,1.4,0,5
472,138217079,2018,28,453,2.0,100.0,0,1,1.5,3,1
474,138216836,2018,23,174,1.0,110.0,0,1,1.0,0,1
475,138216933,2014,28,319,9.0,136.0,0,1,1.8,3,5
476,138216832,2016,16,299,5.0,121.0,0,0,2.0,3,3
477,138190068,2016,17,256,6.0,109.0,0,1,0.0,2,3
