finn_code,model_year,manufacturer,model,km,power,gear,trans,first_reg,cylinder,fuel_type,price
137801205,2009,Opel,Astra,77000.0,116.0,Automat,FWD,,1.6,Bensin,59000
137801815,2016,Nissan,Leaf,41000.0,109.0,Automat,FWD,2016,0.0,Elektrisitet,189000
137801845,2017,Tesla,Model X,43000.0,,Automat,AWD,2017,0.0,Elektrisitet,859000
137801715,2016,Nissan,Leaf,30000.0,109.0,Automat,FWD,2016,0.0,Elektrisitet,195000
137801712,2017,Mercedes-Benz,GLE,12800.0,422.0,Automat,AWD,2017,3.0,Hybrid,779000
137801699,2016,Volvo,XC 70,77000.0,163.0,Automat,AWD,2015,2.4,Diesel,479900
137801577,2017,Ford,Edge,30000.0,210.0,Automat,AWD,2017,2.0,Diesel,619000
137801568,2017,Nissan,Leaf,24750.0,110.0,Automat,FWD,,0.0,Elektrisitet,229900
137796098,2001,BMW,3-serie,272000.0,118.0,Manuell,RWD,2001,1.9,Bensin,21617
137801551,2014,Volkswagen,Tiguan,73100.0,140.0,Automat,AWD,2014,2.0,Diesel,259000
137801519,2015,Volkswagen,Golf,71200.0,116.0,Automat,FWD,2015,0.0,Elektrisitet,189000
137801398,2018,Toyota,Land Cruiser,21733.0,177.0,Automat,AWD,2018,2.8,Diesel,595000
122342482,2001,Ford,Excursion,183000.0,314.0,Automat,AWD,2001,6.8,Bensin,81494
137801369,2015,Volvo,V60,47050.0,114.0,Automat,FWD,2014,1.6,Diesel,255000
137801360,2014,Citroen,C4 Cactus,73000.0,82.0,Manuell,FWD,2014,1.2,Bensin,109000
137801304,2015,Peugeot,108,29900.0,69.0,Manuell,FWD,2015,1.0,Bensin,89000
137801283,2012,Hyundai,i30,85000.0,110.0,Manuell,FWD,2012,1.6,Diesel,89000
137801284,2005,Volkswagen,Transporter,300000.0,105.0,Manuell,FWD,2005,1.9,Diesel,29000
137801190,2018,Volvo,XC 90,23060.0,235.0,Automat,AWD,2017,2.0,Diesel,888888
137801115,2011,Volkswagen,Tiguan,137700.0,140.0,Automat,AWD,2011,2.0,Diesel,169000
137796932,2007,Toyota,Avensis,165000.0,129.0,Manuell,FWD,2007,1794.0,Bensin,41618
137801030,2017,Citroen,C4 Cactus,36943.0,110.0,Manuell,FWD,2017,1.2,Bensin,175000
137801005,2014,Toyota,Auris,52410.0,136.0,Automat,FWD,2014,1.8,Hybrid,205000
137800351,2002,Ford,Galaxy,236200.0,116.0,Manuell,FWD,,1.9,Diesel,18618
137800928,2012,BMW,3-serie,64125.0,136.0,Automat,RWD,2012,2.0,Diesel,209000
137800973,2014,Kia,Sportage,74900.0,116.0,Manuell,FWD,2014,1.7,Diesel,179000
137800909,2014,Audi,A3,94000.0,122.0,Manuell,FWD,2013,1.4,Bensin,149775
135793949,2003,Toyota,Land Cruiser,187000.0,163.0,Automat,AWD,2003,3.0,Diesel,160000
137800862,2011,Toyota,Land Cruiser,151000.0,190.0,Automat,AWD,2011,3.0,Diesel,464000
137800875,2013,Mitsubishi,Outlander,78962.0,150.0,Automat,AWD,2013,2.3,Diesel,279000
137800595,2013,Audi,A6 allroad,145000.0,204.0,Automat,AWD,,2998.0,Diesel,329000
137800881,2015,BMW,X4,46638.0,190.0,Automat,AWD,2015,2.0,Diesel,489000
137795191,2011,Audi,A4,247000.0,270.0,Automat,AWD,2010,1984.0,Bensin,173775
137800790,2016,Mercedes-Benz,Vito,34500.0,114.0,Manuell,FWD,2016,1.6,Diesel,239000
137800721,2013,Toyota,RAV4,55000.0,151.0,Automat,AWD,2013,2.0,Bensin,299000
137800740,2018,BMW,i3,3339.0,184.0,Automat,RWD,2018,,Elektrisitet,2390
137800739,2015,Volkswagen,Golf,24000.0,116.0,Automat,FWD,2014,0.0,Elektrisitet,199000
137800722,2014,Audi,A1,54000.0,86.0,Manuell,FWD,2013,1.2,Bensin,134900
137799919,2010,Toyota,HiLux,224000.0,144.0,Manuell,AWD,2010,2.5,Diesel,149794
137800197,2015,Toyota,Aygo,19000.0,,Manuell,FWD,,,Bensin,79900
137800548,2012,Volvo,V70,98944.0,114.0,Manuell,FWD,2012,1.6,Diesel,179000
137107331,2008,Peugeot,4007,317000.0,156.0,Manuell,AWD,2008,2.2,Diesel,55000
137800492,2014,BMW,4-serie,96900.0,306.0,Automat,AWD,2013,3.0,Bensin,569000
137800360,2018,Mercedes-Benz,C-Klasse,23500.0,184.0,Automat,AWD,2017,2.0,Bensin,528000
137794178,2018,Nissan,Leaf,11000.0,150.0,Automat,FWD,2018,,Elektrisitet,309000
137800295,2004,Toyota,Avensis,193000.0,110.0,Manuell,FWD,,1.6,Bensin,39900
137800301,2013,Volvo,S60,89140.0,114.0,Automat,FWD,2012,1.6,Diesel,160000
137800207,2015,Kia,Cee'd,38500.0,110.0,Manuell,FWD,2015,1.6,Diesel,159000
137800280,2015,Mercedes-Benz,GLA,94700.0,136.0,Automat,AWD,2014,2.1,Diesel,309000
137800230,2013,Mercedes-Benz,Sprinter,17102.0,129.0,Manuell,RWD,2013,2.1,Diesel,189719
137800287,2013,Volkswagen,Touran,165650.0,105.0,Manuell,FWD,2012,1.6,Diesel,119000
137794345,2007,Mercedes-Benz,C-Klasse,190000.0,122.0,Automat,RWD,2007,2.1,Diesel,49618
137800273,2016,Mercedes-Benz,C-Klasse,38900.0,510.0,Automat,RWD,2016,4.0,Bensin,869000
137800223,2005,Ford,Focus,94391.0,101.0,Manuell,FWD,2005,1.6,Bensin,11594
125188168,2004,Kia,Carens,89900.0,105.0,Manuell,FWD,2004,1.6,Bensin,14999
137800124,2015,Kia,Cee'd,37500.0,110.0,Manuell,FWD,2015,1.6,Diesel,159000
137799371,2010,Volvo,XC 70,63120.0,163.0,Automat,AWD,,2.4,Diesel,279900
131460944,2010,BMW,1-serie,129000.0,136.0,Automat,RWD,2010,2.0,Diesel,108719
137800100,2011,Mitsubishi,ASX,93326.0,116.0,Manuell,AWD,2012,1.8,Diesel,149000
137800070,2014,Toyota,Auris,80500.0,99.0,Automat,FWD,2014,1.8,Hybrid,149000
137799975,2017,Mercedes-Benz,CLA,37000.0,122.0,Automat,FWD,2017,1.6,Bensin,309000
137796181,2013,Mitsubishi,Outlander,104000.0,150.0,Manuell,AWD,2013,2.3,Diesel,199000
137798810,2011,Audi,A3,129987.0,105.0,Manuell,FWD,,1.6,Diesel,99775
137797345,2006,Volkswagen,Transporter,243435.0,131.0,Manuell,AWD,,2.5,Diesel,49618
137799791,2016,Volvo,V70,38309.0,181.0,Manuell,FWD,2016,2.0,Diesel,345000
137799653,2006,Volvo,V70,227982.0,185.0,Automat,FWD,2005,2.4,Diesel,36594
137799622,2018,Mercedes-Benz,C-Klasse,1000.0,279.0,Automat,RWD,,2.0,Hybrid,499000
131006323,2011,Audi,Q7,206000.0,245.0,Automat,AWD,2014,2967.0,Diesel,338719
137799616,2016,BMW,1-serie,41000.0,116.0,Automat,RWD,2016,116.0,Diesel,229000
137799561,2014,Suzuki,Swift,31360.0,94.0,Manuell,AWD,2014,1.2,Bensin,149000
137793431,2010,Volkswagen,Polo,92500.0,75.0,Manuell,FWD,2009,1.6,Diesel,69656
137799598,2018,Volkswagen,Crafter,43857.0,177.0,Automat,FWD,2017,2.0,Diesel,498800
137799535,2015,Nissan,Qashqai,32500.0,116.0,Manuell,FWD,2015,1.2,Bensin,209000
137799019,1986,Ford,Mustang,99999.0,250.0,Manuell,RWD,,5000.0,Bensin,149000
137799451,2017,Hyundai,i30,47100.0,120.0,Manuell,FWD,2017,1.0,Bensin,189000
137799358,2017,BMW,i3,39200.0,170.0,Automat,RWD,2017,,Elektrisitet,298500
137799344,2016,Ford,Ranger,29000.0,200.0,Automat,AWD,2016,3.2,Diesel,369000
