,finn_code,manufacturer,model,km,power,cylinder,model_age,trans_0,trans_1,trans_2,fuel_type_0,fuel_type_1,fuel_type_2,fuel_type_3,fuel_type_4,gear_0,gear_1,price
9308,137415155,17,256,41.0,109.0,0.0,5,0,1,0,0,0,1,0,0,1,0,138.00000000000006
6405,135964737,0,55,202.0,140.0,2.0,14,0,1,0,0,1,0,0,0,0,1,40.00000000000001
5049,138064091,19,10,54.0,92.0,1.6,5,0,1,0,0,1,0,0,0,1,0,145.00000000000003
2036,138154022,28,139,187.0,129.0,1.8,13,0,1,0,1,0,0,0,0,0,1,59.99999999999997
9200,137815739,30,442,76.0,163.0,2.4,6,1,0,0,0,1,0,0,0,1,0,368.9999999999999
6185,138022529,29,191,53.0,204.0,1.4,3,0,1,0,0,0,0,1,0,1,0,246.00000000000003
11040,137696574,29,83,150.0,116.0,2.0,20,0,1,0,1,0,0,0,0,0,1,16.999999999999996
8003,137871126,6,176,16.0,61.0,0.0,2,0,1,0,0,0,1,0,0,0,1,229.9999999999999
7666,133564823,30,356,99.0,150.0,1.6,6,0,1,0,1,0,0,0,0,0,1,189.9999999999999
9916,128852103,24,336,225.0,165.0,3.0,12,1,0,0,0,1,0,0,0,1,0,78.99999999999996
6199,138026392,19,303,128.0,90.0,2.0,10,0,1,0,0,1,0,0,0,0,1,59.99999999999997
8008,137870851,18,71,132.0,110.0,1.7,11,0,1,0,0,1,0,0,0,0,1,44.99999999999998
827,138208605,30,415,72.0,114.0,1.6,5,0,1,0,0,1,0,0,0,0,1,129.99999999999994
121,138225722,13,149,95.0,150.0,2.2,3,1,0,0,0,1,0,0,0,0,1,270.0000000000001
777,134344008,1,31,160.0,231.0,3.0,14,1,0,0,0,1,0,0,0,1,0,151.99999999999997
5205,138061299,30,415,23.0,152.0,2.0,2,0,1,0,1,0,0,0,0,0,1,299.0
2011,138166480,1,214,73.0,170.0,0.0,4,0,1,0,0,0,1,0,0,1,0,168.99999999999997
1696,136247004,23,125,38.0,75.0,1.0,5,0,1,0,1,0,0,0,0,1,0,82.00000000000003
1916,138172956,23,293,108.0,105.0,1.6,7,0,1,0,0,1,0,0,0,0,1,115.00000000000003
9300,137800153,29,191,84.0,105.0,2.0,12,0,1,0,0,1,0,0,0,0,1,50.00000000000001
9442,137809879,14,127,167.0,170.0,2.0,5,0,1,0,0,1,0,0,0,1,0,202.0
4935,138066629,29,191,86.0,116.0,0.0,4,0,1,0,0,0,1,0,0,1,0,170.0
3903,138117002,30,416,47.0,120.0,2.0,3,0,1,0,0,1,0,0,0,1,0,248.99999999999977
7573,137895614,17,256,71.0,109.0,0.0,7,0,1,0,0,0,1,0,0,1,0,88.99999999999994
7861,137875587,29,397,185.0,101.0,2.0,15,0,1,0,0,1,0,0,0,0,1,22.00000000000001
8610,133717025,14,189,118.0,170.0,2.0,6,1,0,0,0,1,0,0,0,1,0,319.9999999999997
7421,134941431,17,327,92.0,110.0,1.5,6,0,1,0,0,1,0,0,0,0,1,136.00000000000003
9178,137816121,16,72,95.0,116.0,1.8,8,1,0,0,0,1,0,0,0,0,1,134.99999999999997
8674,137825996,14,91,122.0,143.0,2.1,15,0,0,1,0,1,0,0,0,1,0,83.99999999999994
7746,137880741,2,365,27.0,360.0,5.0,2,1,0,0,1,0,0,0,0,1,0,647.0000000000003
11147,137745439,30,420,321.0,163.0,2.4,11,0,1,0,0,1,0,0,0,1,0,78.99999999999996
5108,138058299,29,191,194.0,102.0,1.6,15,0,1,0,1,0,0,0,0,0,1,30.999999999999996
8328,137847367,1,8,10.0,224.0,1.5,1,1,0,0,0,0,0,1,0,1,0,385.0000000000001
9693,137799478,2,365,290.0,240.0,6.0,30,1,0,0,1,0,0,0,0,1,0,168.99999999999997
6508,138001534,28,138,221.0,97.0,1.4,17,0,1,0,1,0,0,0,0,0,1,18.000000000000014
7792,133238997,1,18,123.0,163.0,2.0,9,1,0,0,0,1,0,0,0,0,1,133.0
3949,132373181,29,281,61.0,204.0,2.0,3,1,0,0,0,1,0,0,0,1,0,540.0
11090,137746839,13,148,52.0,150.0,2.0,4,1,0,0,1,0,0,0,0,1,0,258.9999999999999
7992,137871701,17,256,10.0,122.0,0.0,1,0,1,0,0,0,1,0,0,1,0,299.0
9444,137809721,13,149,102.0,150.0,2.2,5,1,0,0,0,1,0,0,0,1,0,258.9999999999999
3485,138127522,29,405,174.0,114.0,2.0,6,0,1,0,0,1,0,0,0,0,1,98.99999999999994
2101,138162209,29,191,3.0,136.0,0.0,0,0,1,0,0,0,1,0,0,1,0,367.9999999999999
9508,137699279,17,256,10.0,150.0,0.0,1,0,1,0,0,0,1,0,0,1,0,299.0
10115,137792033,8,223,0.0,120.0,0.0,0,0,1,0,0,0,1,0,0,1,0,318.99999999999983
8019,137865395,20,118,103.0,239.0,3.0,8,1,0,0,0,1,0,0,0,1,0,433.99999999999994
5151,138062102,19,33,151.0,111.0,1.6,8,0,1,0,0,1,0,0,0,1,0,85.00000000000003
3761,138066693,0,54,7.0,204.0,1.0,2,0,1,0,0,0,0,1,0,1,0,250.0
7690,137884783,17,242,180.0,83.0,2.0,21,1,0,0,0,1,0,0,0,0,1,41.999999999999986
5380,138058180,28,138,208.0,90.0,1.4,12,0,1,0,0,1,0,0,0,0,1,28.999999999999993
5218,137798908,28,78,54.0,68.0,1.0,7,0,1,0,1,0,0,0,0,0,1,59.00000000000001
9735,137801941,0,58,123.0,136.0,2.0,10,0,1,0,0,1,0,0,0,1,0,128.99999999999994
8666,132088499,28,75,151.0,147.0,1.8,9,0,1,0,1,0,0,0,0,1,0,124.00000000000001
1048,138203440,29,191,89.0,105.0,1.9,11,1,0,0,0,1,0,0,0,0,1,100.00000000000003
